Main group,Taxon group,Scientific Name,Common name,Conservation action needed,Avoid negative impacts,Watching brief only,Link to Species Records on NBN Gateway,Threatened species,Legally protected species,S1 - on UKBAP list,S2 - Internatnl. Obligation,S3 - Rare in the UK (<16 10km sqs),S4 - <6 Scottish 10km sqs,S5 - >25% Scottish Decline,S6a - Endemic to Scotland,S6b - endemic sub-species/ race,Taxon Version Key,UKBAP Code
Birds,bird,Puffinus puffinus,Manx Shearwater,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000014,
Birds,bird,Pyrrhocorax pyrrhocorax,Red-billed Chough,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0000530800,
Birds,bird,Pyrrhula pyrrhula,Bullfinch,-,-,Yes,NBN map,Amber,-,Yes,-,-,-,-,-,-,NHMSYS0000530802,542
Birds,bird,Scolopax rusticola,Woodcock,Yes,Yes,-,NBN map,Amber,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000031,
Birds,bird,Stercorarius parasiticus,Arctic Skua,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000341,2627
Birds,bird,Sterna dougallii,Roseate Tern,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,-,Yes,Yes,-,-,NBNSYS0000000364,587
Birds,bird,Sterna hirundo,Common Tern,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000138,
Birds,bird,Sterna paradisaea,Arctic Tern,-,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,-,-,-,NBNSYS0000000365,
Birds,bird,Sterna sandvicensis,Sandwich Tern,Yes,Yes,-,NBN map,Amber,ELD,-,Yes,-,-,Yes,-,-,NBNSYS0000000363,
Birds,bird,Sternula albifrons,Little Tern,-,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,-,-,-,-,-,NHMSYS0001688285,
Birds,bird,Streptopelia turtur,Turtle Dove,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,Yes,Yes,-,-,NHMSYS0000530623,589
Birds,bird,Sturnus vulgaris subsp. vulgaris,Starling,-,Yes,-,NBN map,-,ELD,Yes,-,-,-,-,-,-,NHMSYS0020193673,2636
Birds,bird,Tetrao tetrix,Black Grouse,Yes,Yes,-,NBN map,Red,ELD,Yes,-,-,-,Yes,-,-,NHMSYS0000530658,596
Birds,bird,Tetrao urogallus,Capercaillie,Yes,Yes,-,NBN map,Red,WCA 1981 3,Yes,Yes,-,-,Yes,-,-,NHMSYS0000530659,597
Birds,bird,Tringa glareola,Wood Sandpiper,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,Yes,Yes,Yes,-,-,-,NBNSYS0000000148,
Birds,bird,Tringa ochropus,Green Sandpiper,Yes,Yes,-,NBN map,Amber,WCA 1981 3,-,-,Yes,Yes,-,-,-,NBNSYS0000000147,
Birds,bird,Troglodytes troglodytes subsp. fridariensis,Fair Isle Wren,Yes,Yes,-,NBN map,Red,ELD,-,Yes,Yes,Yes,-,-,Yes,NHMSYS0001596569,2673
Birds,bird,Troglodytes troglodytes subsp. hirtensis,St Kilda Wren,Yes,Yes,-,NBN map,Red,-,-,-,Yes,Yes,-,-,Yes,NHMSYS0001596570,2674
Birds,bird,Turdus iliacus,Redwing,Yes,Yes,-,NBN map,Red,WCA 1981 3,-,-,-,-,Yes,-,-,NHMSYS0000530673,
Birds,bird,Turdus philomelos,Song Thrush,-,Yes,-,NBN map,Red,ELD,Yes,-,-,-,-,-,-,NHMSYS0000530678,621
Birds,bird,Turdus philomelos subsp. hebridensis,Hebridean Song Thrush,Yes,-,-,NBN map,Red,-,Yes,-,-,-,-,-,Yes,NHMSYS0020303240,2677
Birds,bird,Turdus torquatus,Ring Ouzel,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NHMSYS0000530681,2678
Birds,bird,Tyto alba,Barn Owl,Yes,Yes,-,NBN map,Amber,WCA 1981,-,-,-,-,Yes,-,-,NHMSYS0000530685,
Birds,bird,Vanellus vanellus,Northern Lapwing,Yes,Yes,-,NBN map,Red,ELD,-,-,-,-,Yes,-,-,NBNSYS0000000027,2687
Fish,bony fish,Acipenser sturio,Sturgeon,Yes,Yes,-,NBN map,CR,"EPS 1,2,3",-,Yes,Yes,Yes,-,-,-,NBNSYS0000188597,2002
Fish,bony fish,Alosa alosa,Allis Shad,Yes,Yes,-,NBN map,-,"HR 1994 2,3",Yes,Yes,Yes,Yes,-,-,-,NBNSYS0000188601,84
Fish,bony fish,Alosa fallax,Twaite Shad,Yes,Yes,-,NBN map,-,"HR 1994 2,3",Yes,Yes,Yes,Yes,-,-,-,NHMSYS0000544611,85
Fish,bony fish,Anguilla anguilla,Eel,-,-,Yes,NBN map,CR,-,Yes,-,-,-,-,-,-,NBNSYS0000188599,2038
Fish,bony fish,Coregonus albula,Vendace,Yes,Yes,-,NBN map,EN,"HR 1994 2,3",Yes,-,Yes,Yes,Yes,-,-,NHMSYS0000544655,236
Fish,bony fish,Coregonus lavaretus,Powan,Yes,Yes,-,NBN map,-,"HR 1994 2,3",-,-,Yes,Yes,-,-,-,NBNSYS0000188604,2193
Fish,bony fish,Osmerus eperlanus,Smelt,Yes,-,-,NBN map,-,-,-,-,-,Yes,Yes,-,-,NBNSYS0000188609,2477
Fish,bony fish,Salmo salar,Atlantic Salmon,Yes,Yes,-,NBN map,-,HR 1994 3,-,Yes,-,-,-,-,-,NBNSYS0000188606,2579
Fish,bony fish,Salmo trutta,Sea Trout,Yes,-,-,NBN map,-,-,Yes,-,-,-,Yes,-,-,NBNSYS0000188607,2580
Fish,bony fish,Salvelinus alpinus,Arctic Charr,-,-,Yes,NBN map,-,-,Yes,-,-,-,-,-,-,NHMSYS0000544751,2583
Fish,jawless fish ,Lampetra fluviatilis,River Lamprey,-,Yes,-,NBN map,-,HR 1994 3,-,Yes,-,-,-,-,-,NBNSYS0000188584,2360
Fish,jawless fish ,Lampetra planeri,Brook Lamprey,-,Yes,-,NBN map,-,ELD,-,Yes,-,-,-,-,-,NHMSYS0000544685,
Fish,jawless fish ,Petromyzon marinus,Sea Lamprey,-,Yes,-,NBN map,-,ELD,-,Yes,-,-,-,-,-,NBNSYS0000188586,2494
Terrestrial invertebrates,insect - beetle (Coleoptera),Anacaena limbata,Scavenger Water Beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001716791,
Terrestrial invertebrates,insect - beetle (Coleoptera),Bembidion (Ocydromus) testaceum,Pale Pin-palp,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NHMSYS0001717175,143
Terrestrial invertebrates,insect - beetle (Coleoptera),Calosoma inquisitor,Caterpillar-hunter,-,-,Yes,NBN map,-,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000007143,2120
Terrestrial invertebrates,insect - beetle (Coleoptera),Chrysanthia nigricornis,a false blister beetle,Yes,Yes,-,NBN map,EN,-,-,-,Yes,Yes,-,-,-,NHMSYS0020151683,
Terrestrial invertebrates,insect - beetle (Coleoptera),Cryptocephalus decemmaculatus,Ten-spotted Pot Beetle,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000011126,247
Terrestrial invertebrates,insect - beetle (Coleoptera),Cryptocephalus sexpunctatus,Six-spotted Pot Beetle,Yes,Yes,-,NBN map,VU,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000011140,251
Terrestrial invertebrates,insect - beetle (Coleoptera),Eubrychius velutus,a weevil,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NBNSYS0000025410,
Terrestrial invertebrates,insect - beetle (Coleoptera),Macroplea appendiculata,a leaf beetle,-,-,Yes,NBN map,-,-,-,-,Yes,Yes,-,-,-,NBNSYS0000011083,
Terrestrial invertebrates,insect - beetle (Coleoptera),Meloe violaceus,Violet Oil-beetle,-,-,Yes,NBN map,-,-,Yes,-,Yes,-,-,-,-,NBNSYS0000024952,2423
Terrestrial invertebrates,insect - beetle (Coleoptera),Meotica anglica,Shingle Rove Beetle,Yes,-,-,NBN map,-,-,Yes,-,Yes,Yes,-,Yes,-,NHMSYS0001718979,448
Terrestrial invertebrates,insect - beetle (Coleoptera),Noterus crassicornis,Smaller Noterus,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0001719174,
Terrestrial invertebrates,insect - beetle (Coleoptera),Philorhizus quadrisignatus,Mab's Lantern,Yes,Yes,-,NBN map,EN,-,Yes,-,Yes,Yes,-,-,-,NHMSYS0001719554,272
Terrestrial invertebrates,insect - beetle (Coleoptera),Procas granulicollis,a weevil,-,-,Yes,NBN map,DD,-,Yes,-,Yes,Yes,-,-,-,NBNSYS0000025323,
Terrestrial invertebrates,insect - beetle (Coleoptera),Tournotaris bimaculatus,a beetle,-,-,Yes,NBN map,-,-,-,-,-,Yes,-,-,-,NHMSYS0020153634,
Terrestrial invertebrates,insect - butterfly,Aricia artaxerxes,Northern Brown Argus,-,Yes,-,NBN map,VU,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000516231,109
Terrestrial invertebrates,insect - butterfly,Boloria euphrosyne,Pearl-bordered Fritillary,Yes,Yes,-,NBN map,EN,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000501513,151
Terrestrial invertebrates,insect - butterfly,Boloria selene,Small Pearl-bordered Fritillary,-,-,Yes,NBN map,NT,-,Yes,-,-,-,-,-,-,NHMSYS0000516240,2088
Terrestrial invertebrates,insect - butterfly,Carterocephalus palaemon,Chequered Skipper,Yes,Yes,-,NBN map,EN,WCA 1981,Yes,-,Yes,-,-,-,-,NHMSYS0000501644,192
Terrestrial invertebrates,insect - butterfly,Coenonympha pamphilus,Small Heath,Yes,-,-,NBN map,NT,-,Yes,-,-,-,Yes,-,-,NHMSYS0000519083,2183
Terrestrial invertebrates,insect - butterfly,Coenonympha tullia,Large Heath,Yes,Yes,-,NBN map,VU,WCA 1981,Yes,-,-,-,Yes,-,-,NHMSYS0000519078,2184
Terrestrial invertebrates,insect - butterfly,Cupido minimus,Small Blue,-,Yes,-,NBN map,NT,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000502045,2203
Terrestrial invertebrates,insect - butterfly,Erebia epiphron,Small Mountain Ringlet,-,Yes,-,NBN map,NT,WCA 1981,Yes,-,-,-,-,-,-,NHMSYS0000519788,2250
