eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,Pollutionscore,Endlatitude,Endlongitude,geodeticDatum,countryCode
S3TIT_A,S3TIT_A4,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Conistra vaccinii,Chestnut moth,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A5,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Xanthia togata,Pink barred sallow moth,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A6,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Denticucullus pygmina,Small wainscot,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A7,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Clubiona Latreille,Leaf curling sac spiders,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A8,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Dysstroma truncata,Common marbled carpet,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A9,Human_observation,2025-09-10,Animalia ,Diptera,Sciaridae,Dark winged fungus gnats ,Family,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A10,Human_observation,2025-09-10,Animalia ,Trichoptera ,Limnephilus lunatus,Cinnamon sedge caddisfly,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A11,Human_observation,2025-09-10,Animalia ,Diptera,Tipula rufina,Crane fly ,Species ,2,2,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A12,Human_observation,2025-09-10,Animalia ,Diptera,Tipula paludosa/oleracea,Crane fly,Order,10,10,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A13,Human_observation,2025-09-10,Animalia ,Diptera,Tipula paludosa ,European crane fly,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIT_A,S3TIT_A14,Human_observation,2025-09-10,Animalia ,Diptera,Tipula oleracea ,Marsh crane fly ,Species ,1,1,Individual,Present ,N55 42.027,W005 17.134,,,,WGS84,GB
N3TIT_A,N3TIT_A1,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Standfussiana lucernea,Northern rustic ,Species ,1,1,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
N3TIT_A,N3TIT_A2,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Denticucullus pygmina,Small wainscot,Species ,2,2,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
N3TIT_A,N3TIT_A3,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Xestia xanthographa ,Square spot rustic ,Species ,2,2,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
N3TIT_A,N3TIT_A4,Human_observation,2025-09-10,Animalia ,Diptera,Limoniidae,Crane fly ,Family,3,3,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
N3TIT_A,N3TIT_A5,Human_observation,2025-09-10,Animalia ,Araneae,Linyphiidae,Money spider,Family ,1,1,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
N3TIT_A,N3TIT_A6,Human_observation,2025-09-10,Animalia ,Hemiptera,Rhopalidae,Scentless plant bugs,Family,1,1,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
N3TIT_A,N3TIT_A7,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Agrius convolvuli,Convolvulus hawk moth,Species ,1,1,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
N3TIT_A,N3TIT_A8,Human_observation,2025-09-10,Animalia ,Lepidoptera ,Tipulidae,Crane fly ,Family,1,1,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
N3TIT_A,N3TIT_A9,Human_observation,2025-09-10,Animalia ,Hymenoptera,Ophion sp,Parasitic wasps,Genus ,2,2,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
N3TIT_A,N3TIT_A10,Human_observation,2025-09-10,Animalia ,Trichoptera ,Limnephilus lunatus,Cinnamon sedge caddisfly,Species ,1,1,Individual,Present ,N55 42.253,W005 16.755,,,,WGS84,GB
S3TIT_J,S3TIT_J1,Human_observation,2025-09-11,Animalia ,Trichoptera ,Trichoptera,Caddis fly,Order,1,1,Individual,Present ,N55 41.828,W005 16.810,,,,WGS84,GB
S3TIT_J,S3TIT_J2,Human_observation,2025-09-11,Animalia ,Hymenoptera,Cardrina morpheus,Mottled rustic,Species,1,1,Individual,Present ,N55 41.828,W005 16.810,,,,WGS84,GB
S3TIT_J,S3TIT_J3,Human_observation,2025-09-11,Animalia ,Diptera,Culicidae,Mosquito,Family,4,4,Individual,Present ,N55 41.828,W005 16.810,,,,WGS84,GB
S3TIT_J,S3TIT_J4,Human_observation,2025-09-11,Animalia ,Diptera,Tipuloidea,Crane fly ,Super_family,1,1,Individual,Present ,N55 41.828,W005 16.810,,,,WGS84,GB
N3TIT_J,N3TIT_J1,Human_observation,2025-09-11,Animalia ,Lepidoptera ,Aporophyla nigra ,Black rustic ,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,,,,WGS84,GB
N3TIT_J,N3TIT_J2,Human_observation,2025-09-11,Animalia ,Lepidoptera ,Xestia xanthographa ,Square spot rustic ,Species,5,5,Individual,Present ,N55 42.061,W005 16.371,,,,WGS84,GB
N3TIT_J,N3TIT_J3,Human_observation,2025-09-11,Animalia ,Trichoptera ,Trichoptera,Caddis fly,Order,1,1,Individual,Present ,N55 42.061,W005 16.371,,,,WGS84,GB
N3TIT_J,N3TIT_J4,Human_observation,2025-09-11,Animalia ,Lepidoptera ,Euxoa nigricans,Garden dart,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,,,,WGS84,GB
N3TIT_J,N3TIT_J5,Human_observation,2025-09-11,Animalia ,Diptera,Tipuloidea,Crane fly ,Super_family,4,4,Individual,Present ,N55 42.061,W005 16.371,,,,WGS84,GB
N3TIT_J,N3TIT_J6,Human_observation,2025-09-11,Animalia ,Diptera,Culicidae,Mosquito,Family ,1,1,Individual,Present ,N55 42.061,W005 16.371,,,,WGS84,GB
N3TIT_J,N3TIT_J7,Human_observation,2025-09-11,Animalia ,Diptera,Diptera ,Fly,Family,1,1,Individual,Present ,N55 42.061,W005 16.371,,,,WGS84,GB
N3TIT_J,N3TIT_J8,Human_observation,2025-09-11,Animalia ,Lepidoptera ,Colostygia pectinataria,Green carpet moth,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,,,,WGS84,GB
N3TIT_J,N3TIT_J9,Human_observation,2025-09-11,Animalia ,Lepidoptera ,Cardrina morpheus,Mottled rustic,Species,1,1,Individual,Present ,N55 42.061,W005 16.371,,,,,
